sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes
11745001,,Kabellock av träfiberkomposit som är till för att skydda kabel som läggs ned vid järnväg. Det kan ersätta betong som vanligen används med fördelen att det nya locket är lättare att montera och installera. ,,2007,45,2,206;114;161,1,"""... valde OFK
Plast att extrudera profilen av återvunnen
polyeten och återvunna träfibrer.
Fördelen med det nya materialvalet var
att det skulle bli lättare att montera och
installera. Dessutom var vikten lägre och
livslängden längre, hävdade tillverkaren."" 12952-00-00"
11748001,,"En världsunik ""tvåstegs natriumbaserad kokprocess, som separerar hemicellulosan"" (Svensk Papperstidning, 2008, nr. 4, p. 48) och därmed kan ta vara på nya delar av veden.",,2008,21111,2,211;103,1,"""Råvaruoptimering, biologisk rening och bioenergi i form av en biogastork, uppskattas av kunderna och ger ett bättre ekonomiskt utfall i slutänden."" 12956-00-00"
11749001,FibreForm,Ett töjbart pappersmaterial som kan användas istället för plast vid förpackning av bl.a matvaror. Är helt baserad på fiber.,,2010,-100,2,114;402,1,"""FibreForm kan ersätta plast i en mängd olika förpackningar och utmanar nu plastförpackningar på allvar, vilket miljön vinner på"" 13105-00-00"
11750001,Pure Board,En kartong av nyfiber med PE-beläggningar för produkter som kommer i kontakt med färdigrätter.,,2009,15,2,999,1,
11813001,Corodrill 860,Borr med helt ny geometri och specialutvecklad spånkanalform.,,2012,D,,,,
11907001,,"ny teknik för att framställa cellulosabaserad etanol för biobränsle. (Kemivärlden Biotech med Kemisk Tidskrift, 2014, nr. 5, p. 32)",,2014,-101,1;2,110,1,"""Under de
fyra åren som industridoktorand utvecklade
han en ny teknik för att framställa
cellulosabaserad etanol för biobränsle"", ""Kemikalierna reagerar med nedbrytningsprodukterna
och gör dem mindre
toxiska, vilket gör att jäsningen kan fortsätta
ostört."" 13276-00-00"
11937001,,Elektroluminiscent färg för tryck av förpackning och reklam.,,2012,2121,9,999,1,not forest
11952001,,"Kryllsensor ""som kan installeras i massa- och pappersbruk"". Den ger tätare och snabbare mätningar än konventionell bildanalys.",,2012,21,2,203,1,"""Målet är att möjliggöra produktion av bättre papper, men med en lägre energiförbrukning"" 13340-01-00"
11969001,Midiflex,"En skonsam markberedare som gör mindre åverkan på kalhyggena, tack vare ett ""midjemonterat aggregat där markberedaren sitter mellan dragfordonet och boggien"" (Ny Teknik, 2014, nr. 34, p. 7)",,2014,02,,,,
11997001,,"DNA-strängar som gör det möjligt att ""reglera hastigheten på tillverkningen av protein i levande celler."" Kan användas i forskning om och tillverkning av läkemedel.",,2010,24420,1,501,1,"good example of bv1;not forest; ""Det gäller även när
fabriken består av levande celler.
Xbrane har dna-strängarna
som fixar uppgiften."" 13395-00-00"
12016001,,Ny framställningsmetod av biometanol från förgasat svartlut.,,2012,24140,2,110;101,1,"""Metanolen är framställd av syntesgas,
en blandning av kolmonoxid
och vätgas, som i sin tur är resultatet
av förgasning av svartlut, en restprodukt
från tillverkning av pappersmassa."" 13419-00-00"
12020001,,Råtalldiesel som tillverkas genom att tallolja från massabruken blandas med metanol. Raffineras sedan till drivmedel som består av 25 procent förnybar råvara.,,2010,21112,2,101;110;206;211,1,"""Han ville
tillverka mer än dubbelt så många
liter biodiesel av tallolja, en restprodukt
vid massatillverkning."" 55260-00-00"
12026001,,"Nanocellulosa som bland annat kan ersätta plast i förpackningar och fungera som ""miljövänlig ersättare till kevlar i olika kompositmaterial.""",,2011,21,2,114;101;203,1,"""Tunna genomskinliga filmer som kan
ersätta oljebaserad plast i matförpackningar.
Miljövänlig ersättare till
kevlar i olika kompositmaterial. Ett
hälsosammare alternativ till olika
konsistensgivare i exempelvis lättprodukter."" 13434-00-00; ""en ny process,
som sänker energiförbrukningen
med 98 procent."" 13435-00-00"
12048001,,"Papperskorgar som tömmer sig själva med hjälp av vakumteknik, när en nivåmätare signalerar att det är dags.",,2010,75125,9,213,1,"good example bv9; ""När nivåmätaren signalerar
att det är dags för
tömning skapas ett undertryck
i det underjordiska
rörsystem som papperskorgen
är kopplad till. Sedan öppnas en
ventil i papperskorgens botten. Via ventilen
sugs skräpet in i rör, som leder till
en container. Undertrycket och suget skapas
med hjälp av fläktar. Det handlar med
andra ord om en sopsug med en ny typ
av inkast."" 13464-00-00"
12070001,,Tekniktjänst som ska ersätta papperskvitton med digitala kvitton,,2010,-101,9,204,1,not forest
12079001,,"fjädrande sängbotten i stål med ""geometri som ska ge både stabilitet och lagom svikt"". Efter som sängbotten består av serieproducerade smådelar ska produkten kunna monteras snabbt både i butik och hemma.",,2010,-101,9,999,1,not forest
12134001,,"Spelmotor som kan hantera ett ""stort antal individuella ljuskällor"" och ge en realistisk återgivning""",,2011,36500,9,999,1,not forest
12151001,Trainitest,"Ny maskin som kan simulera alla sorters träning, från tennis till simninng. Maskinen har en ""servomotor som drivs av ett programmerbart styrsystem (PLC)""",,2011,92621,9,999,1,not forest
12221001,Domex,"Höghållfaststål, i detta fall 3 nya sorter. Det nya stålet blev möjligt tack vare en ny kylsträcka",,2013,29220,9,103;206,1,"not forest; ""Nu kan vi göra det höghållfasta
stålet så tunt och lätt att vi kan
matcha designlösningar där man
använder aluminium, säger Johan
Broback.""13655-00-00"
12228001,,Ett nytt intelligent skrivbord som anpassar sig efter användaren samtidigt som det är miljövänligt,,2013,-100,9,501;601;203,1,not forest
12235001,,"En ny maskin som tillverkar mjukpapper, energisnålare än andra maskiner och med möjligheten att byta tillverkling av papper utan behovet att bygga om maskinen",,2013,21,2,203;103,1,"""Det är en ny generation mjukpappersmaskiner
där vi kan tillverka
papper av hög kvalitet i en energisnål
produktion, säger Karl-Johan Tolfsson.
Åtgången av fibrer vid samma papperstjocklek
blir 30 procent lägre än
tidigare, vilket är positivt ur miljöhänsyn."" 13672-00-00"
12254001,,En metod som gör att ytvikten kan ställas om snabbt vid  byte av kvalitet i pappersmaskiner. Automatiseringen är egenutvecklad och har ökar produktiviteten ordentligt.,,2013,211,2,601,1,"""Tack vare dess föreslag kan massaflödet regleras automatiskt"" 13696-00-00"
12322001,Cellufoam,Ett nytt miljövänligt material gjort av pappersmassa som förhoppningvis ska kunna ersätta EPS (frigolit).,,2015,25240,2,114;101;107,1,"""När
det torkat blir det ett poröst och lätt
material som påminner om EPS, expanderad
polystyren, eller frigolit
som de flesta säger. … Många vill komma bort
från plastbaserade material, som frigolit."" 13777-00-00; good example bv2; good innovation journey; bought by stora enso in 2018"
12335001,Peepoo,En självsanerande engångstoalett som består av en påse i ett bionedbrytbart material. Toaletterna kan på grund av att innehållet desinficeras användas till gödsel.,,2012,85325,2,107;501;114,1,"not forest; ""Materialet är en biologiskt
nedbrytbar plast, gjord av en
blandning av alifatiska/aromatiska
sampolyestrar och polymjölksyra (PLA),
med små tillsatser av vax och kalk."" 14075-00-00"
12363001,,"En ""unik teknik för att behandla flis för massaproduktion"" (Svensk Papperstidning, 2014, nr. 1, p. 34) som kräver mindre energi genom att förbehandla flisen vid huggningen.",,2014,21111,2,203,1,"""Företaget erbjuder ett unik teknik för att behandla flis för massaproduktion och att optimer tekniken för att spara energi."" 13817-00-00; ""Bolagets mål är att hjälpa skogsindustrien att effektivisera sina flisbaserade processystem."" 13819-00-00; good example bv2"
12367001,,Miljövänlig elektronik som kan tryckas på papper med vanliga tryckpressar.,,2011,212,9,107;501,1,not forest
12393001,,"En plattform för kombinationen av haptik, fysik och 3D-grafik. Plattformen implementeras i träning- och simulationsinstrument för medicinska ändamål.",,2013,33101,9,501,1,not forest
12416001,Meganews,"en internetuppkopplad tidningsautomat som med print-on-demand-teknik skapar en kopia direkt (Svensk Papperstidning, 2012, nr. 10, p. 6)",,2013,-101,9,207;211;103;204,1,not forest
12419001,,Aukustiska displayer av pappersmassa som har ljuddämpande och temperaturreglerande egenskaper.,,2013,-100,2,213,1,"""… en ljuddämpande produkt av fibermassa"" 13950-00-00"
12424001,Sustainable Packaging,En serie förpackningar gorda av micro-wellkartong.,,2013,15,2;3,402;107,1,"""Skillnaden är att pappret i de nya produkterna har förstärkts med sulfatmassa för att kunna blir förpackningspapper."", ""Vedfibern är ju en del av naturens kretslopp som vi lånar och sedan lämnar tillbaka igen"" 13959-00-00"
12425001,HDI800,Ett inspektionssystem för kartongbanor med 100 kameror. Systemet kan kontrollera varje kvadratmilimeter vid en hastighet på 800 meter i minuten.,,2013,2121,2,602;601;501;204;203,1,"""Tidigare var Skogshall tvungen att kassera mellan 700-1500 ton färdig kartong i månaden på grund av skjuvningsdefekter och felsökning kunde ta upp till 45 minuter"" 13960-00-00"
12430001,InvoTip,Produkt för ytbehandling och bestrykning av papper. Den sparar såväl på råmaterial som energi.,,2009,21,2,103;203,1,
12454001,IMX,Fjärrövervakningssystem som består av hårdvaran (IMX) i kombination med mjukvara (Aptitude Observer) känner automatiskt av ogynsamma vibrationer i maskinutrustning genom fasta mätpunkter och skickar automatiskt ut larm om så sker.,,2014,21,9,162,1,good example bv9
12463001,Skräddarsydda materialegenskaper,En metod för presshärdning av stål som genom uttänkt bromsning av kylningen uppnår olika sträckgränser (hållfasthet) i plåten.,,2013,3410,9,999,1,not forest
12466001,BoxLoc,"Återförslutare av kartonger i form av en plastdetalj (PA66 eller PP) som också fungerar som ""flagga"" och visar på håll att kartong öppnats.",,2009,-100,9,999,1,not forest
12476001,Cailar,Vattenbaserat beläggningsmaterial som kan ersätta plastfilm i förpackningar. Materialet baseras på förnyelsebara råvaror och är därmed miljövänligare än oljebaserade plastfilmer.,,2014,2121,1;2,114;101,1,"""Det vattenbaserade systemet är
utvecklat för beläggning av pappersmaterial
och är ett miljövänligt alternativ
till de oljebaserade plastfilmer
som i stor utsträckning används
i förpackningar idag."" 14075-00-00"
12518001,TactonWorks,IT-system som hjälper säljaren sammanställa exakt den produkt eller en konfiguration av produkter som kunden vill ha.,,2008,20302,9,601,1,
12565001,,En bältesförsträckare med elmotor som komplement till krutladdning. Elmotorn aktiveras vid kraftiga inbromsningar för att dra åt bilbältena.,,2008,34100,9,501,1,not forest
12569001,,"världen första elhybridbåt som drivs med vanliga träpellets. (Ny Teknik, 2009, nr. 6, p. 18). Båten är den första kommersiella implementeringen av företagets elhybriddrift som använder pellets för att generera el.",,2009,35110,,,,
12576001,,Ställningstrall i kompositmaterial som är uppemot 50% lättare och 3ggr längre livslängd jämfört med en ställningstrall i trä som ökar i vikt vid nederbörd. Ställningstrallen kan vid kassering malas ned och återanvändas.,,2014,45,9,101;161;107;206,,"not forest; ""Trallen tillverkas
av 100 procent återvinningsbart material
och den dag produkten kasseras utgår
pant när den returneras till Octaflex,
som i sin tur maler ner materialet för recirkulering."" 14248-00-00"
12586001,,"System där en datorröst som läser upp plocklistan för lagerarbetare. ""I stället för att skriva ut plocklistor på papper får lagerarbeterna dem upplästa, rad för rad, i ett trådlöst headset."" (Ny Teknik - Automation, 2008, nr. 9 (49), p. 10).",,2008,341,,,,
12639001,Bio-Energy with Carbon Capture and Storage (BECCS),Tekniken för att fånga in koldioxid från processindustrier med biomassa som råvara och ta den ur kretsloppet.,,2012,21,1;2;0,206;211,1,"""Tekniken heter bio-energy with carbon
capture and storage och förkortas
BECCS. Den går ut på att
fånga in koldioxiden från processindustrier
med biomassa som råvara,
till exempel etanolfabriker där
koldioxid frigörs i jäsningsprocesser
eller biogasanläggningar och
pappersindustrier."" 14372-00-00"
12691001,,"Världens första instrument som kontinuerligt kan mäta pappersytans kvalitet online och sedan styra tillverkningsprocessen mot bättre kvalitet utifrån mätdata (Elektroniktidningen, 2014, nr. 5, p. 4-5)",,2014,212,2,602;601,1,"""För oss tar det cirka en sekund att upptäcka en kvalitätsförändring, sen tar det förstås en stund att åtgärda processen"" 14471-00-00 "
12769001,Network Platform QCS800xA,Kvalitetsstyrsystem för pappers- och massaindustrin som kontrollerar och hanterar en mängd faktorer under produktionsprocessen såsom tjocklek och fukthalt.,,2009,21,2,999,1,"""Då blir det viktigaste för oss att vår utrustning stödjer kvalitätstänket och grantera samma resultat varje gång"" 14657-00-00"
12776001,Pulpeye,Modulärt analys- och mätsystem för pappers- och massaindustrin. Systemet är onlinebaserat och baseras på hårdvara samt mjukvaran Extracteye.,,2012,21,2,203;602;601,1,"""Det blir inte bara mer energieffektivt, utan en maskin som kan styras och regleras optimalt ger en jämmnare kvalitet av slutprodukten"" 14670-00-00"
12777001,,Sensor som mäter vattenmängden i pappersmaskinens viraparti i viktiga positioner. Mätresultaten möjliggör kontroll och optimering av mäldkemin vilket ger ökad körbarhet och bättre papperskvalitet.,,2012,21,2,602;601,1,"""Mätresultaten gör det möjligt att kontrollera och optimera mäldkemin, vilket ökar körbarheten och förbättrar papperskvaliteten"" 14676-00-00"
12784001,,Skräddarsydd TPE-lösning (en Dryflex SEBS-förening) som material till halkskydd till specialgångstaven Flexyfoot som har hög slittålighet och friktion vilket ger ett bra fäste även på hala och våta ytor.,,2011,36400,9,501;161,1,not forest
12801001,Pulzit,Träningsglasögon med inbyggd skärm som visar personens puls i ögonvrån.,,2012,-101,9,999,1,not forest
12813001,Forwarder 1450F,Ny konstruktion av skotare för timmertransporter som ger en minskning av chassivikten på femton procent vilket innebär lägre bränsleförbrukning.,,2012,02,9,203;211,1,good example bv9
12927001,Easy Ad,System för utomhusreklam i en wellpappskvalitet som passar för såväl inom- som utomhusbruk och som dessutom är till 100 procent återvinningsbar.,,2009,52,2,107,1,"""SCA har utvecklat en wellpappskvaliteten som, förutom vara återvinningsbar till 100 percent, lämpar sig för såväl inomhus- som utomhustillämpningar"" 15000-00-00"
12933001,G-Print,"Ett unikt matt, bestruket papper.",,1975,22110,2,162,1,"""Det unika är att papperet är bestruket och lätt kalandrerat"" 15034-00-00"
12966001,Intellinova,Onlineverktyg för vibrationsanalys baserat på SPM HD metoden i form av en vibrationsgivare.,,2013,21111,2,602;601,1,"""… och analysera mätningar på ett effektivt sätt"", ""Kraftliner är ett baspapper tillverkat av nyfiber som används för tillverkning av högklassig wellpapp"" 14034-00-00"
13032001,,Helt kund anpassade byggsats hus helt i limträ som håller värmen medan fukten kan röra sig fritt.,,2015,-101,2;3,203;309,1,"""Inget finns färdigt på lager, utan allt
tillverkas på beställning och i samarbete
med kunden."" ""LIMTRÄBALKEN ÄR I massiv gran med
maximalt fem millimeter mellan årsringarna
och är limmad med ett tvåkomponents
melaminhartslim."" 15468-00-00"
13041001,X-Tech /X-Bim /X-Shell,"Kompositteknologi (högvärdiga termoplastkompositer med kontinuerlig kolfiber) som möjliggör lösningar (för kunden) som signifikant minskar vikt, stärker egenskaper samt sänker kostnaderna.",,2014,36400,9,999,1,not forest
13069001,,"Utrustning för att utvinna energi ur vibrationer från industriella processer med hjälp av elektromagnetism. Den kan göra iot-prylar självförsörjande på el. Den patenterade metoden kallas för ”energy harvesting"".",,2019,211,9,206;203;104,1,"""Tänkbara
applikationer är anläggningsmaskiner,
kompressorer, flygplan
och andra ”skakiga” miljöer där
tekniken kan göra sensorer, mätinstrument
och annan iot-utrustning
självförsörjande på ström. På
detta sätt slipper man kablar och
batterier, vilket ska eliminera så -
väl höga initialkostnader som
underhåll och byten av dyra batterier""16311-00-00; "
13089001,SKF Xtra Power Lawn and Garden,"[N]ya kilremmar för kraftöverföring [...]  med extremt hög hållbarhet, är anpassade för trädgårds-maskiner som jordfräsar, åkgräsklippare och kompostkvarnar. Konstruktionen i Aramid garanterar betydligt längre hållbarhet än standardtrådar i polyester. Höljet i speciell torr bomull är avsett att ge remmarna en jämnare kraft-överföring. De ska också orsaka mindre slirning vid koppling jämfört med lågeffektremmar standardutförande.",,2015,29320,9,161,1,good example bv9
13091001,,"Diskkoppling som klarar tyngre laster och temperaturer[...] Designen skapar ett brett användningsområde anpassat till applikationer inom till exempel marin industri, petrokemi, pappersindustri och tryckerier.",,2015,211,9,999,1,good example bv9
13121001,Absorption Express,Nyutvecklad högutbytesmassa för mjukpapper.,,2015,21220,2;3,203;201,1,"""Det unika med produkten
är att den ersätter dyrare massakvaliteter
samtidigt som den har bättre
absorptionsegenskaper och bulk än
de kvaliteter den ersätter."", ""Vi använder enbart färsk gran för
våra slipmassor och vi hämtar veden
inom en radie av 10 mil. Färskheten
ger förutsättningar för bättre
produktegenskaper såsom ovanligt
hög ljushet, faktiskt 60 procent eller mer redan på oblekt massa. Veden är
också mer lättbarkad och ger en lägre
kemikalie- och energiförbrukning."", 15617-00-00; good example bv3 for paper industry"
13122001,Bulk Booster,[E]n ny massakvalitet [...] speciellt avsedd att höja bulk och styvhet ytterligare hos kartongprodukter.,,2015,21211,2;3,203;201,1,"""Det unika med produkten
är att den ersätter dyrare massakvaliteter
samtidigt som den har bättre
absorptionsegenskaper och bulk än
de kvaliteter den ersätter."", ""Vi använder enbart färsk gran för
våra slipmassor och vi hämtar veden
inom en radie av 10 mil. Färskheten
ger förutsättningar för bättre
produktegenskaper såsom ovanligt
hög ljushet, faktiskt 60 procent eller mer redan på oblekt massa. Veden är
också mer lättbarkad och ger en lägre
kemikalie- och energiförbrukning."", 15617-00-00; good example bv3 for paper industry"
13202001,Gameon,En webbaserad simuleringsmodel för industriell miljö- och processteknik som kan köras i realtid tack vare att uträkningarna sker i molnet.,,2016,80301,9,999,1,
13223001,Strenx 1100 MC,"Den ultrahöghållfasta tunnplåten StrenxTM 1100 MC uppfyller alla kraven som ställs av avancerade lyftutrustningsproducenter. ... Strenx 1100 MC noggrant kontrollerade egenskaper, förbättrade töjningsvärden, slagseghet och verkstadsegenskaper garanterar en säker överföring från de vanliga sträckgränsnivå- erna på 900 MPa till en sträckgräns på 1 100 MPa. (Bergsmannen 1, 2016, nr. 2, p. 10)",,2016,2812,9,999,1,not forest
13291001,,"Skärning av kartong med rörliga hjul, något som innebär stor flexibilitet",,1998,21211,2,999,1,
13303001,Circulose,"Ett material som består av 100 % återvunnen cellulosa. Baserat på en ""... världsunik teknologi för återvinning av bomull och andra cellulosabaserade fibrer."" (SPCI Svensk Papperstidning, 2016, nr. 1, p. 30-33). Man bryter ner ogenomträngliga fibriller som cellulosa består av.",,2020,5241,2;3,107;206;204;201;202;203;101,1,113188-00-00
13311001,,"M-vägg av korslimmat trä som klarar brand- och mekaniska krav, är smalare, lättare och miljövänligare än de tidigare alternativen.",,2016,45212,2,101,1,"""M-väggar i KL-trä är billigare,
mindre utrymmeskrävande,
lättare och bättre
för miljön, säger Daniel
Wilded, försäljningsingenjör
på Martinsons."" 15867-00-00"
13313001,WoodGuard-6,En helautomatisk emballagemaskin som täcker alla sex sidor samt limmar ihop emballaget med smältlim och fäster etiketter på fyra sidor.,,2016,20102,9,601;112,1,
13347001,Arcwise,En wellpappförpackning med runda former som är extra stabil och möjliggör 30% lättare förpackningar.,,2016,21211,2,999,1,"""Enligt företaget kommer tekniken bland annat innebär att förpackningar kan göras upp till 30 percent lättare"" 15917-00-00 "
13355001,Soundots,"Sladdlösa, små och stapelbara högtalare. Detta för att skapa större högtalare, där egenutvecklad ai-teknik anpassas ljudet efter hur många enheter som är inkopplade.",,2015,-101,9,999,1,not forest
13357001,,"En automatiserad träningsmaskin som med hjälp av en elmotor anpassar belastningen efter användaren. Maskinen låter den använda sim maximala förmåga genom hela rörelsen, vilket leder till effektivare träning och lägre skaderisk.",,2015,-101,9,999,1,not forest
13367001,,Smycken ned nfs-chip som kan användas vid t.ex betalning eller som passerkort.,,2012,-101,9,999,1,not forest
13373001,,En cellulosafiberanläggning som använder returpapper samt är automatiserad till väldigt hög grad.,,2016,21129,2;3,206;203;202;201,1,"""Icell använder ocirkularade tidningar till produktion av isoleringsmaterial. Genom att återvinna ett ton tidningspapper sparas 19 trä, 4000kWh energi, 29 000 liter rent vatten, 3 kubikmeter sopor och sammanlagt 30 kg giftigt avfall"" 15971-02-00"
13398001,Bioink,3d-skrivare som kan skriva ut celler blandat med nanocellulosa vilket kan växa till sig och forma riktig vävnad.,,2016,80301,1,501,1,"good example bv1; ""Resultatet blev en 3d-bioskrivare
där celler trycks genom skrivhuvudet,
ungefär som med en spruta,
samt ett bläck med nanocellulosa
som får cellerna att trivas.
Med tekniken överlever runt 95
procent av cellerna en utskrift."" 16002-00-00"
13410001,Tiki,Billig och bekväm andningsmask. Tillverkas genom vakuumformar i petplast som justerar trycket beroende på bärarens andning.,,2016,45110,9,501;203;204,1,not forest
13415001,,En lastbil som erbjuder både pappersstrimlare och elektronikförstörare för känsligt material.,,2016,-100,9,999,1,not forest
13518001,,"Nystartade Voysys har tagit fram en programvara som gör det möjligt att livesända vr-video genom att sy ihop rörlig bild från flera olika 360-kameror. Det som särskiljer deras lösning är att den även klarar av att lägga till ”virtuella skärmar” ovanpå vr-videon. (Ny Teknik, 2017, nr. 5, p. 14-15) Tekniken är användbar i livesändningar av vr",,2017,02019,9,999,1,
13528001,,"Företaget har tagit fram ett nydanande system för medicinsk bildanalys inom cancerbehandling. Genom att ersätta konventionell datortomografi (CT) med bilder från en magnetkameraundersökning (MR) och låta självlärande algoritmer analysera bilderna, kan systemet öka precisionen för strålbehandlingen för att skydda friska kringliggande organ, och göra det möjligt med mer individanpassad och träffsäker behandling. (Ny Teknik, 2017, nr. 9, p. 15)",,2017,85,9,501,1,not forest
13539001,,"Grundtekniken utvecklades för att snabbt kunna skanna av objekt som fanns framför missilen. Men Cind har gett den ett nytt användningsområde. Genom att placera flera kameror i en portal som en timmerlastbil kör igenom kan man mäta lassets volym. Det gör att skogsbolagen kan ha en operatör som fjärrövervakar mätningarna, i stället för att ha flera personer som utför det arbetet på plats. (Ny Teknik - 33-listan, 2017, nr. 14, p. 10)",,2016,20,,,,
13545001,,"Med restprodukten glycerol som bas har Sustainalube lyckats ta fram en ny typ av giftfritt, nedbrytbart smörjmedel. (Ny Teknik - 33-listan, 2017, nr. 14, p. 13)",,2017,020,1,201;207;101,1,"""Genom att dra nytta av restprodukten
glycerol och sedan lägga
till additiv, det vill säga tillsatsämnen,
från växtriket, så har företaget
kunnat skapa ett medel som är
giftfritt, biologiskt nedbrytbart –
och lika effektivt som konventionella
smörjmedel."" 16236-00-00"
13557001,,Silverkloridbehandling av polyester för att motverka dålig lukt i kläder.,,2011,36400,9,102;701,1,not forest
13633001,,"Ett nytt isoleringsmaterial som består av speciellt designad kabelplast, tvärbunden polyeten. Det har väldigt högt spänningsnivå och gör möjligt att överföra kraft långa sträckor med mindre energiförluster.",,2017,31300,9,203;161,1,not forest
13661001,,"Mätsystem som i realtid övervakar flödesegenskaper vid tillverkning i industri. Egenutvecklad teknik med ultraljud som mäter flöden och egenskaper. Tidigare har man fått göra detta manuellt. Den nya produkten är mer miljövänlig, säker, kostnadseffektiv och håller jämn kvalité.",,2017,21,,,,
13705001,Threespine,"En flexibel låstunga vilken gör det möjligt att genom ett enkelt klick, montera företagets möbelinredningar, utan verktyg. (Plastforum, 2017, nr. 8, p. 17) Låstekniken fungerar också för konkava, konvex och runda möbeldelar.",,2017,361,9,999,1,not forest
13706001,Surf Leash Revolwe,"Surf leash, tillverkad av material från återvunna PET-flaskor, miljöcertifierad NR och återvunnen TPU, vilket innebär ett radikalt minskat koldioxidutsläpp jämfört med motsvarande produkter av oljebaserade material. (Plastforum, 2017, nr. 8, p. 17)",,2017,-101,9,102;213,1,not forest
13731001,TT 245 (Top Tension),Ett nytt bandspänningsaggregat som bygger på ett fyrkolvssystem. Systemet kan installeras tillsammans med existerande system och gör det möjligt att hålla en konstant spänning samt reducera avbrottsrisken.,,2018,201,2,103,1,"""Stabilare
drift minskar risken för stopp, samtidigt
som man via tunnare sågblad kan
öka utbytet"" 45205-00-00"
13746001,,"En egenutvecklad unik maskin som använder en ny teknik vid tillverkning av servetter och bordsdukar. Med maskinen ""får produkten en känsla av linneduk."" (SPCI Svensk Papperstidning, 2018, nr. 3, p. 36)",,2018,-101,2,999,1,
13748001,,"En ny produktionsanläggning för att omvandla sågspån till pyrolysolja. Pyrolysolja är en förnybar råvara till biodrivmedel. ""Detta är Europas första produktionsanläggning av pyrolysolja som kopplas till ett raffineri."" (SPCI Svensk Papperstidning, 2018, nr. 5, p. 8)",,2021,-101,2,206;110,1,
13780001,DuraSense,"Biokompositmaterial som innehåller TMP-massa och plast (vanlig, bio- eller returplast).",,2018,252,2,102;114;110;107;206,1,
13783001,,"Ny skruv som bara kräver 10 newton för att gå in i trävirket, jämfört med genomsnittliga skruvar som kräver 30 netwon. Huvudet har försetts med inverterade skär i tårtbitsmönster. Med denna design får man ett bättre avslut och samtidigt bättre klämkraft eftersom träet kompakteras under skruvskallen.",,2018,45,9,501,1,"good example bv 9; ""Det är viktigt i en bransch där många faktiskt är slut
i axlar och rygg vid femtioårsåldern,
säger Christofer Lindberg."" 55270-00-00 - 5527-01-00"
13791001,,"En unik metod för att sanera gruvavfall. Metoden innebär att täcka gruvavfall med grönlutslam. ""Det understa lagret består av en blandning av grönlutslam och stenmjöl med HDPE emellan och möran i översta lagret."" (SPCI Svensk Papperstidning, 2018, nr. 5, p. 20)",,2017,10100,2,212;207;206;102,1,
13795001,Karma,En app (en maträddartjänst) som möjliggör att kunder kan köpa mat till rabatterat pris.,,2018,-101,9,204,1,not forest
13834001,CoroTap 400,En ny gängtapp som möjliggör en spånfri och säkrare och stabilare gängning jämfört med konkurrenterna. Ytterligare förkortas bearbetningstider.,,2018,45230,9,999,1,not forest
13836001,BLT / DLT,Två sensorer utvecklades genom en ny mätteknik. DLT mäter filtratets kappatal medan BLT mäter det totala kappatalet. Den nya mättekniken just mäter lignin. Tekniken möjliggör att minska mängden kemikalier och att få jämnare massakvalitet.,,2018,211,2,202;201,1,"""Genom att applicera resultatet från laboratorietförsök i en massalinje bekräftades att mätningar online av utlöst ligning gör det möjligt att minska blekningskostnader och vattenförbrukning samt bidra till jämnare massakvalitet"" 73242-00-00"
13844001,No Man Entry,En ny metod för rengöring av sodapannor. Att använda roboter för att rengöra sodapannor möjliggör en säkrare arbetsmiljö och en dubbelt så snabbt rengöring.,,2018,2111,9,501,1,good example bv9
13853001,Aiida,Maskinlärningstjänst som kan hantera de flödena som traditionellt är manuella i dagens företag. De har lyckats skapa en algoritm som kan ta sig an ostrukturerad data och göra den så effektiv som möjligt med begränsad information. Dvs träningsdata är inte lika nödvändig i samma utsträckning.,,2018,-100,9,601,1,not forest
13859001,TC-kanaltork,"En ny generation av virkestork. Genom ""att styra temperatur och luftfastighet individuellt i olika zoner"" ""kan sågverket med stor frihetsgrad välja dimensioner på virket som ska torkas, något som tidigare inte varit möjligt i en kanaltork"" (NTT, 2018, nr. 7, p. 6)",,2018,20,2,203,1,"""Det kan förändra sättet att arbeta på ett helt sågverk. Det skapar möjligheter att vara betydligt mer flexibel och ger stora fördelar när det handlar om planering i sågen."" 77427-00-00"
13869001,,"En ny lösning som används för att samla alla information från hela anläggningen så att data kan ""visualiseras och tydliggöras på det sätt man själv önskar""(Automation, 2018, nr. 9, p. 13). Genom lösningen, minskas ställtider, oplanerade stopp samt energiförbrukning med cirka 10 procent.",,2018,20,,,,
13885001,,"Modeller som förutser processer som är av två slag: fysikaliska (sambandet mellan tryck och vattenflöde) och statistiska: först genom mätning och kalibrering i labbmiljö och sen simuleras den fysikaliska modellen, varav resultatet blir en process som justerar sig själv. Simuleringsmodellerna kompletteras med soft-sensorer som har NIR (near-infrared spectroscopy). Med simuleringsmodellerna och mätdatan man matar in, kan de prediktera att det blir en viss temperatur eller en viss koncentration i ett flöde.",,2019,21,9,601;601,1,
13890001,Renol,"En förnybar bioplast som är gjord av restprodukter från skogsindustrin. Processen ""bygger upp ligninet till en hydrofob plastliknande polymer i en enkel process utan giftiga utsläpp eller restprodukter."" (SPCI Svensk Papperstidning, 2019, nr. 6, p. 24)",,2020,2416,2,114;101;107,1,
13925001,,En ny teknik för snabb och jämn uppvärmning av kompositfibern.,,2019,36400,9,999,1,not forest
