Collection,SINNO.ID,Name.Swe,Name.Eng,Descri.Swe,Industry,Product.code,Use.sectors,Use.sector.2,Use.sector.3,Use.sector.4,X,Notes,Innovation.type,Artifactual.complexity,Developmental.complexity,COM_Year,Commissioner,Firm.Novelty,Market.Novelty,Patent.Status,Literal.name.of.innovating.firm...SINNO.s.common.name...SINNO.ID,Location,Firm.only.produces.the.innovation,Corporate.group,Firm.founded.for.development.or.commercialization,Previously.developing.firms,Previously.developing.firm.2,Previously.developing.firm.3,Previously.developing.firm.4,Presentation.Year,Development.Year,Year.of.first.prototype,Use.sector.5,Use.sector.6,Use.sector.7,Use.sector.8,Use.sector.9,Origins,Origin.2,Origin.3,Origin.4,Origin.5,Additional.information.if.Origin...1a.New.scientific.discovery,Additional.information.if.Origin...1b.New.technologies.or.materials,Additional.info.if.Origin...2a.Official.regulation..legislation.and.standards.,Additional.information.if.Origin...5b.Solution.for.a.problem,Additional.information.if.Origin...7.Performance,Additional.information.if.Origin...20.Other,Science.spin.off,Research.insititutes.of.spin.off,Research.insititute.2.of.spin.off,Research.insititute.3.of.spin.off,Universities.of.spin.off,University.2.of.spin.off,University.3.of.spin.off,Developed.in.collaboration.with.other.actors,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID,Type,Country,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.1,Type.1,Country.1,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.2,Type.2,Country.2,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.3,Type.3,Country.3,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.4,Type.4,Country.4,Literal.name.of.collaborator...SINNO.s.common.name...SINNO.ID.5,Type.5,Country.5,Public.technology.program.involved,Public.technolgy.program.s.name,External.financing.received,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID,Type.of.funder,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.1,Type.of.funder.1,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.2,Type.of.funder.2,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.3,Type.of.funder.3,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.4,Type.of.funder.4,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.5,Type.of.funder.5,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.6,Type.of.funder.6,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.7,Type.of.funder.7,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.8,Type.of.funder.8,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.9,Type.of.funder.9,Literal.name.of.funder...SINNO.s.common.name...SINNO.ID.10,Type.of.funder.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.1,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.2,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.3,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.4,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.5,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.6,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.7,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.8,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.9,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.10,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.11,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.12,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.13,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.14,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.15,Source.type...Journal.or.magazine...Annex.or.supplement...Year..date.or.period...Issue...Pages...Data.pages.16,BIO.Name
SWINNO - updated,6936001,,,"Metod för att återvinna avfallsgummi, speciellt i skrotade bildäck. ",Wastewater Treatment,37100,25,,,,877,"Företaget ägs av Trelleborg AB, Alfax AB, AB Gotthard Nilsson, PLM Återvinning, Döhmers & Hofsten och IIT (Institutet för Innovationsteknik).",1,2,2,1979,,1,NA,NA,Gummiåtervinningsaktiebolaget C G Å ; Gummiåtervinningsaktiebolaget C G Å ; 5938002,,NA,,1,,,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA,12,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1979 ; 12 ; 17-18 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7428001,,,"Mikrodatorstyrt apteringssystem för användning i de egna processorerna och skördarna. Genom mikrodatorn kommer 19 olika funktioner att styras, bl a matning av trädet fram och back, automatisk backning vid fastkörning, kapning och toppklippning., sortering av masasved repspektive timmer samt räkning av antalet timmer- och massavedsbitar samt antal bearbetade träd. Föraren får också via mikrodatorn information om var kapsvärdet och toppklippen befinner sig, sorteringsbordets läge samt om sotkcens minidiameter underskrids. ",,30020,2,,,,882,,1,2,2,1979,,1,NA,NA,Volvo BM ; Volvo BM  ; 9799002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5a,,,,,,,,,Utvecklat för att sitta i de egna maskinerna.,NA,,,,,,NA,1,Svenska Radio AB ; Svenska Radio ; 9847002,17,SWE,Umeå Mekaniska AB ; Umeå Mekaniska ; 13785002,1,SWE,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1979 ; 2 ; 143 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7429001,,,Barkningsmaskin. Maskinen består av två tråg som rymmer vardera 17 kubikmeter. När ett av trågen fylls börjar fyra skruvar att rotera. De är gängade åt var sitt håll och i och med att de snurrar går hela massan runt. ,,29320,2,,,,883,,1,2,2,1979,,1,2,1,Constructors AB ; Constructors ; 6431002,Markaryd,1,,NA,,,NA,NA,NA,1976,NA,NA,NA,NA,NA,NA,5a,7,,,,,,,,Sparar arbetskraft och tid.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1979 ; 2 ; 147 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7436001,,,Bullerskärmar av ny typ. Modulerna är byggda av trä. Tack vare en konstruktion med lockpanel får man en reliefverkan samtidigt som skärmarna blir täta och billiga. ,Chemical and Plastics,20510,45230,,,,889,,1,3,3,1979,,2,NA,NA,Credesign ; Credesign ; 6438002,Stockholm,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,"Täta, billiga, smäckra.",,NA,,,,,,NA,1,IFM Akustikbyrån ; IFM-Akustikbyrån ; 6769002,5,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,1,STU ; Styrelsen för teknisk utveckling ; 12398002,1,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"1 ; Sågverken ;  ; 1979 ; 7 ; 523,525 ; ",,,,,,,,,,,,,,,,,NA
SWINNO - updated,7440001,,,"Trämelass. Trämelassen består av de mest lättlösliga substanserna i vedråvaran för skivframställning, vilka går i lösning i tillverkningsprocessen och inblandas i processvattnet. Sedan mitten av 1960-talet återvinnes substanserna, koncentreras och torkas samt ges en viss efterbehandling som gör dem lämpliga som bl a kreatursfoder. Produkten är alltså dels rent kreatursfoder och dels en ingående ingredients i kreatursfoder.",Textile,15710,12,,,,893,,1,3,3,1979,,1,2,NA,Assi ; Assi ; 9968002,Skinnskatteberg,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1979 ; 11 ; 790-793 ; ,1 ; Kemisk Tidskrift ;  ; 1979 ; 9 ; 92-93 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,7447001,Skogsjan,,Gripprocessor. ,,29320,2,,,,894,http://sv.wikipedia.org/wiki/Skogsjan_AB,1,2,2,1979,,NA,NA,NA,Skogsjan AB ; Skogsjan ; 10055002,Österfärnebo (Söderhamn?),NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Sågverken ;  ; 1981 ; 10 ; 67 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7915001,,,Balk av konstruktionsboard och kanter av trä.,Chemical and Plastics,20301,452,,,,897,,1,3,3,1979,,1,NA,NA,Masonite AB ; Masonite ; 10097002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1979 ; 9 ; 4 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7926001,Loadmaster Computer B 20,,Instrument för uträkning av hur lasten på ett fartyg ska fördelas. Instrumentet bygger på en mikrodator med bildskärm och skrivare. Instrumentet är ämnad för ro-ro- och containerfartyg. ,,30020,611,612,,,907,,1,2,3,1979,,3,NA,NA,Kockums AB ; Kockums ; 7950002,,NA,Kockums AB,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1979 ; 29 ; 20 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7932001,Tubmataren,,Tubmatare för hantering av flis i massaindustrin. Innovationen består av en skruvmatare som löper inuti en cylinder. Tack vare att mataren är skyddad så belastas den inte av godset runt omkring. ,Machinery and Equipment,28740,2111,632,,,912,,1,2,3,1979,,1,2,NA,Kilsverken ; Kilsverken ; 6934002,Billingsfors,1,,NA,,,NA,NA,NA,1977,NA,NA,NA,NA,NA,NA,5a,5b,7,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1979 ; 37 ; 4 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7937001,,,Lösningsmedel med låg halvt av aromater. Den låga aromathalten innebär att lösningsmedlet är miljövänligare än många andra på marknaden. ,,24300,454,101,,,913,,1,3,2,1979,,1,2,1,Asea Isolation ; Asea Isolation ; 10100002,Piteå,NA,Asea,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1979 ; 40 ; 7 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7939001,,,"Träduppdragare; ett hydrauliskt redskap som greppar tag, bryter upp och skalar rotgrenar av trädet. Med den nya tekniken kan 25 % mer av skogen tas om handl ",,29320,2013,,,,915,,1,2,3,1979,,1,2,1,Elektro-Diesel AB ; Elektro-Diesel ; 10039002,Kiruna,NA,,NA,,,NA,NA,NA,1967,NA,NA,NA,NA,NA,NA,5a,1b,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1979 ; 40 ; 32 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,7962001,Macs,,"Metod för att säkrare mäta bultförbands klämkraft. Den säkrare åtdragningstekniken kan göra bultförbanden lättare, vilket påverkar hela bilkonstruktionen. En lättare bil är en bensinsnålare bil, något hela bilindustrin eftersträvar. Åtdragningssystemet är mikrodatorbaserat. ",,29569,34,,,,920,,1,2,2,1979,,2,2,NA,Atlas Copco AB ; Atlas Copco ; 9764002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,"Säkrare, lättare bilar",,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1980 ; 17 ; 12 ; ,1 ; Verkstäderna ;  ; 1979 ; 9 ; 27-30 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,8082001,Thermovedpannan,,"Värmepanna som uppges ha nästan dubbla verkningsgraden och en tiondel av miljöfarliga utsläpp jämfört med en vanlig vedpanna. Istället för att vattenmagasinet direkt omger eldstaden finns där ett skikt av eldfast keramik. Keramikens värmeisolerande förmåga för att förbränningstemperaturen kommer upp till 1300 C. Hög temperatur ger mer fullständig förbränning, energiinnehållet i veden utnyttjas bättre. ",Machinery and Equipment,28220,101,,,,922,,1,2,2,1979,,1,2,NA,Thermoved ; Thermoved ; 7084002,Malmö,NA,,NA,,,NA,NA,NA,1978,NA,NA,NA,NA,NA,NA,7,,,,,,,,,"Dubbel verkningsgrad relativt andra pannor, mindre miljöfarliga utsläpp. ",,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1981 ; 46 ; 14 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9576001,Väv-Kalle,,"Kasettvävstol som består av en grundstomme med trampanordning. På stommen läggs en kassett som innehåler varpbom, träckbom, lättmetallskaft med stålsolv, skedlag, bröstbom och tygbom. Om man har tre kasetter innebär det att man kan göra undervisning i tre pass om dagen på samma yta som man tidigare körde ett. ",,29540,172,,,,930,Carl Lindstam,1,1,2,1979,,2,NA,1,Stabil ; Stabil ; 8578002,,1,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5b,7,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Textil och konfektion ;  ; 1979 ; 7 ; 15 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,9825001,,,Nickel/järn-batteri för elbilar med ungefär dubbelt så hög energitäthet jämfört med ett blybatteri. Ökningen av energitätheten medför en ökning av körsträckan med ungefär lika mycket.,,31400,,,,,932,,1,2,2,1979,,1,NA,NA,Svenska utvecklings AB ; Svenska utvecklings ; 8827002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"1 ; Transport Teknik ;  ; 1979 ; 10 ; 312-313,317 ; ",,,,,,,,,,,,,,,,,NA
SWINNO - updated,10137001,Repak,,"Råmaterial som framställs ur spill och avfall från förpackningsindustrin. Materialet är en plastsprutmassa för den plastbearbetande industrin, som kan ge betydande kostnadsbesparingar inom den internationella förpackningsindustrin. Materialet är slagsegt, fuktstabilt och har god hållfasthet. Man har tillverkat bl a bobiner, sprängsprutade rör, s k plank för lastbilar och formsprutade lådor med gott resultat. Metoden innebär att man avstår från att separera de olika komponenterna från varandra. Istället förvandlas avfallet till ett granulat, vilket kan bearbetas som ett plastmaterial.",Chemical and Plastics,21250,25,28,,,939,,1,3,2,1979,,1,2,NA,Åkerlund & Rausing ; Åkerlund & Rausing ; 10015002,Lund,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1979 ; 6 ; 48 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10139001,,,"Snabbtelefonsystem. Systemet är miljöanpasst, dvs det finns apparater som kan användas i våtutrymmen, verkstäder, lokaler med explosiva gaser, kontor eller chefsrum(!). ",,32200,-100,,,,941,,1,2,2,1979,,3,NA,NA,Standard Radio & Telefon AB ; Standard Radio & Telefon ; 9880002,Södertälje,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Miljöanpassad,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1979 ; 7 ; 55 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10145001,,,"Ny metod för att på ett effektivare sätt utnyttja bark, torv, träavfall m.m. som bränsle. ",,74202,-100,,,,946,,1,2,2,1979,,2,2,NA,AB Svenska Fläktfabriken ; Svenska Fläktfabriken ; 9949002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Verkstäderna ;  ; 1979 ; 12 ; 70 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,10148001,,,"Station för inmätning av timmer. Mätningen av timmer kan nu utföras i uppvärmd lokal med rätt belysning. Stor vikt har lagts vid den ergonomiska utformningen av arbetsplatsen. Stationen kännetecknas av en ombonad arbetsmiljö. Bländfri belysning, låg bullernivå och rätt arbetshöjd på mätbordet. ",,29430,2021,20101,,,948,Säljs av Datadon.,1,2,2,1979,,2,NA,NA,Alnö Mekaniska Verkstad ; Alnö Mekaniska Verkstad ; 10259002,Sundsvall,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5a,7,,,,,,,,Arbetsförhållanden förbättrade. ,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5 ; Verkstäderna ;  ; 1979 ; 15 ; 16 ; ,1 ; Kemisk Tidskrift ;  ; 1979 ; 13 ; 110 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,6110001,,,Teknik för ångtorkning av pappersmassa. Tekniken kan minska nettoförbrukningen av värme med 75 % och produktionskonstnaden för salumassa med 50 kronor per ton.,,74202,211,,,,963,Samarbete med professor Bengt Hedström på Chalmers.,1,2,2,1980,,1,NA,NA,MoDo-Chemetics AB ; MoDo-Chemetics ; 9783002,Örnsköldsvik,NA,MoDo,NA,,,NA,NA,NA,NA,1978,NA,NA,NA,NA,NA,3,,,,,,,,,,,NA,,,,,,NA,1,Chalmers ; Chalmers ; 11262002,11,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,"1 ; Automation ;  ; 1980 ; 2 ; 41-42,44 ; ",,,,,,,,,,,,,,,,,NA
SWINNO - updated,6115001,,,"Lastindikator som visar vikt och axeltryck för varje fordonskombination. Tryck och vikt visas med tre siffror i hela och tiondels ton. Larm ges vid överlast. Indikatorn baseras på PRESSDUKTOR-givaren, en nu snart 30-årig Asea-uppfinning, som tjänstgör i hårda miljöer, bl. a. i stålverk. Den givare som utvecklats för indikatorn blev färdig 1977. ",Machinery and Equipment,33200,60,631,,,968,,1,2,2,1980,,3,NA,NA,Asea ; Asea ; 9755002,,NA,Asea,NA,,,NA,NA,NA,NA,1977,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Automation ;  ; 1980 ; 5 ; 53-54 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6116001,Econobox,,"Sprutbox som möjliggör värmeåtervinninge. En av grundtankarna med Econobox ligger i att begränsa kontakttiden luft/vatten till ett minimum och därigenom undvika att frånluften kyls ned under den tid målningsarbete inte pågår -normalt 70-80 % av den totala drifttiden. Detta kan arrangeras på olika sätt. I det enklaste fallet stoppas helt enkelt vattenridån automatiskt då sprutpistolen stängs av. Med system Econobox arbetar sprutboxen ""vått"" bara under den krota tid då sprutarbete pågår och med maximal värmeåtervining resten av tiden. ",,29240,285,361,,,969,,1,2,2,1980,,2,2,NA,AB Carl Munters ; Carl Munters ; 9786002,,NA,Incentivegruppen,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Automation ;  ; 1980 ; 6 ; 21 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6726001,Carbogel,,"Miljövänligt, kolbaserat bränslesystem. En stabil kol/vattenslurry. Carbogel är en kolbaserad produkt med oljeliknande egenskaper. Vid tillverkningen finmals kol tillsammans med vatten, varefter bl a svavel och tungmetaller avskiljs och tas till vara. Med en patenterad metod kan det renade kolen sedan lagras, distribueras och användas på samma sätt som vanlig tjockolja. En av de största satsningar Boliden gjort på ett enskilt innovationsprojekt. ",,24140,-100,,,,985,,1,3,2,1980,,1,2,NA,AB Scaniainventor (AB Carbogel) ; Scaniainventor (AB Carbogel) ; 5728002,Helsingborg,NA,,NA,,,NA,NA,NA,1973,NA,NA,NA,NA,NA,NA,1b,5a,12,,,,,,,,,NA,,,,,,NA,1,Boliden ; Boliden ; 9700002,2,SWE,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Jernkontorets Annaler ;  ; 1980 ; 4 ; 41-42 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6938001,Ultrasep,,"Ultrafiltreringsmetod. Metoden används för närvarande i Iggesund där avloppsvatten från alkaliextraktionssteget i sulfatblekeriet, som efter systemslutning i kokeri och tvätteri svarar för ca 85 % av totala utsläppet av färg och lignin samt ca 56 % av totala BoOD7-utsläppet, renas med denna metode till en kostnad av 25 kr per ton massa med följande procentuella reningseffekter; färg 87 %, totalt organiskt kol 70 %, biokemisk syreförbrukning (BOD7) 25 %. ",,74202,21,,,,988,,1,2,2,1980,,2,NA,NA,Elektrokemiska AB (EKA) ; Elektrokemiska ; 5897002,,NA,,NA,,,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,12,7,,,,,,,,Hög reningsgrad,,NA,,,,,,NA,1,De Danske Sukkerfabrikker ; De Danske Sukkerfabrikker ; 13453002,18,DNK,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2 ; Kemisk Tidskrift ;  ; 1980 ; 2 ; 34-39 ; ,1 ; Kemisk Tidskrift ;  ; 1980 ; 12 ; 18 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,6943001,Royal-processen,,Metod för att impregnera och ytbehandla trä i samma process.,,74202,20,,,,991,,1,3,2,1980,,2,NA,NA,Assi ; Assi ; 9968002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,Flera arbetsmoment kan utföras samtidigt.,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2 ; Kemisk Tidskrift ;  ; 1980 ; 7 ; 92-96 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6945001,,,Apparat för ångformning av pappersmassa i en värmeväxlare innan komprimering.,,29550,21,,,,993,,1,2,2,1980,,2,NA,NA,AB Rosenblads Patenter ; Rosenblads Patenter ; 5947002,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1980 ; 9 ; 81-86 ; ,,,,,,,,,,,,,,,,,NA
SWINNO - updated,6947001,,,Metod för avhartsning vilket gör att man kan använda färsk ved i massaframställningen.,,74202,21,,,,995,,3,2,2,1980,,2,1,NA,Mo och Domsjö ; Mo och Domsjö ; 5906002,Domsjö,NA,,NA,,,NA,NA,NA,1978,NA,NA,NA,NA,NA,NA,3,,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Kemisk Tidskrift ;  ; 1981 ; 3 ; 101-102 ; ,1 ; Kemisk Tidskrift ;  ; 1981 ; 3 ; 101-102 ; ,,,,,,,,,,,,,,,,NA
SWINNO - updated,7949001,,,Destillationsmetod för etanol. Det nya med metoden är att det går att återföra en del av den energi som går åt i destillationsprocessen. Metoden ska återvinna sprit som används i kemiska processer. ,,74202,90,,,,1004,,1,2,2,1980,,1,2,NA,Sorigona AB ; Sorigona ; 9967002,Staffanstorp,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b,5a,,,,,,,,,,NA,,,,,,NA,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,NA,,1,Statens Industriverk ; Statens Industriverk ; 12390002,2,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1 ; Ny Teknik ;  ; 1980 ; 6 ; 5 ; ,,,,,,,,,,,,,,,,,NA
