SINNO ID,sni,Innovation name in Swedish,des,Additional Info
9493001,21,Therma-Jet,Teknik för styrning av valsdiameter och därmed bantjocklek på pappersmaskiner. Ett konstant luftflöde träffar valsytan via ett stort antal luftstrålar av hög hastighet. Styrningen åstadkoms genom modulering av luftens temperatur i varje modul via separata el-element. ,
9494001,21,FlowMac,"Dataprogram för simulering av tillverkningsprocesser inom pappersindustrin. Syftet är att utföra massabalanser, dynamisk simulering samt ackumulering av data och verbal information i flödesscheman. ",
9501001,21,KIS,"Mätinstrument för banspänning. När pappersmaskinerna går fortare, blir banspänningen mer kritisk men också svårare att mäta. Innovationen bygger på en gammal mätprincip. En roterande vals vilar på lastceller, som känner en löpande banas tryck mot valsen. Tekniken har i pappersindustrin ofta begränsats av att banspänningarna ofta ger ett mycket litet tillskott till valsens vikt, medan kraven på styvhet och vibrationsfrihet sätter gränser för hur långt ned man kan gå i valsvikt. NE har utvecklat och patenterat lastceller för banspänningsmätning med ett så brett område som 100 N-100 kN. Tack vare den höga känsligheten gos dessa lastceller kan mätvalsens viktvara upp till 100 gånger banbredden. ",Klarar snabba pappersmaskiner.
9502001,21,,"Kalandreringsteknik. Innovationen består av en tillsats till en pilotkalender. En längre uppehållstid i kalandernypet  ger ett tydlifare kalandreringsresultat vid en given tryckspänning, t ex i form av högre glans. Ofta noteras att papprets egenskaper efter kalandreringen är relaterade till papperets kvarstående deformation efter nypet. Papper är ett viskoelastiskt material, vilket innebär att om amplituden hos tryckpulsen är konstant kommer den kvarstående deformationen att öka med ökande uppehållstid i nypet. ",Jämnare tryckpapper.
9503001,21,TWIN-HSM,"High Speed Metering. Bestryckare för tunna tryckpapper. Billblade är BTG: s gamla, kända bestrykare. Den nya heter TWIN-HSM.  Med den nya tekniken får man bl a en jämnare beläggning .",Slätare papper.
9512001,21,,"Rengöringsteknik för viror och filtar i pappersmaskiner. Systemet kan ge besparingar genom minskat ångbehov. Det kan också ge vinster genom att förlänga tiden mellan byten av viror och filtar. Det nya regnöringssystemet arbetar med vatten under högt tryck, ett tryck som kan varieras för att klara den förorening som skall tvättas bort. Även torrheten på rengöringsytan kan varieras, vilket gör det möjligt att rengöra i miljöer som är känsliga för fukt. ",Sparar tid.
9516001,21,L&W On-line Strength Sensor,Sensor för mätning av dragstyvhetsindex on-line i en pappersmaskin. Sensorn är baserad på en helt ny teknik för att mäta dragstyvhetsindex med hjälp av ultraljud. Operatören får snabbt veta papperets styrkegränser både längs och tväs maskinriktningen. ,Ger snabbare mätresultat än konventionella mätmetoder.
9519001,21,,Ny tillverkningsmetod som försvårar förfalskning av papper (för sedeltillverkning).,Processinnovation
9522001,21,AccuRay Smart Fiber Orientation Sensor,Fiberorienteringsmätare som kan mäta fibervinkeln och fördelningen mellan fibrer orienterade i maskin- respektive tvärriktningen på både under- och ovansidan av pappersbanan. Det är känt sedan länge att fibrernas orientering är en mycket viktig parameter när man talar om papperskvalitet och körbarhet. Med fibrernas orientering menas fördelningen mellan fibrer orienterade i maskin- respektive tvärsnittsriktningen samt fibrernas genomsnittliga vinkel gentemot maskinriktningen. ,On-line.
9530001,21,Bimogard,Slembekämpningmedel för papper-sindustrin.,
9531001,21,,Superkritisk våtoxidations som kan minska behovet av aska från fyllmedel vid returpappersbaserade bruk. Det organiska innehållet förbrännas till nästan 100% medan fyllmedlet är opåverkat och kan återföras till produktionen.,Minskar behovet av att deponoera avfall.
9532001,21,,Ny bleksekvens för pappersmassa. Sekvensen ger en ny typ av ECF-massa. Kan sägas vara efterföljare till Lignox.,Minskar miljöbelastningen.
9534001,21219,,"Elektroniska papper. Principen är att man trycker på papper och kartong med färger som leder ström i olika grad. Detta innebär att pappersytan kan göras tryckkänslig. Genom att sedan koppla denna sensor till en enhet som spelar upp ljud, eller genererar ljus eller färg, kan man skapa ett papper som svarar på beröring. ",
9534001,21250,,"Elektroniska papper. Principen är att man trycker på papper och kartong med färger som leder ström i olika grad. Detta innebär att pappersytan kan göras tryckkänslig. Genom att sedan koppla denna sensor till en enhet som spelar upp ljud, eller genererar ljus eller färg, kan man skapa ett papper som svarar på beröring. ",
9548001,21,Terminal Restriction Fragment Length Polymorphism,"Ny metod som stoppar slem i pappersbruket. Med metoden kan man snabbt sätta in rätt åtgärder på rätt plats. Man kan kooppla samman en viss typ aav bakterie med ett specifikt problem, och snabbt ta reda på varifrån bakterienra kommer. Därmed kan man också åtgärda problemen med specifika och kostnadseffektiva åtgärder. ",Terminal Restriction Fragment Length Polymorphism (TRFLP). Teknik tidigare använd inom miljöforskning. Principen är att man tar fram DNA  ur till exempel ett slemprov.Man kopierar det DNA man letar efter kliper sönder det och märker in ändbitarna med ett ämne som lätt kan mätas. Detta ger en bild av vilka typer av bakterier som ingår i bakteriesamhället.
9549001,21,PaperSim,"Simulator av papperstillverkningsprocessen. I simulatorn finns en rad olika forskningsresultat inbyggda, simulatorn kan användas för att köra den egna processdatan och jämföra den med en rad forskningsresultat. ",
9551001,21,L&W Autoline 400,System av automationslösning för pappersprovning i laboratoriemiljö. ,
9866001,21,,Tiltindikator som med ljussignal visar när lyftstativet står helt vinkelrätt. Tiltindikatorn indikerar när det lyfta godset kan landas helt plant. Speciellt utvecklad för pappersindustrin.,
9992001,21,,"Brott i pappersbanan leder speciellt vid stora maskiner till pappersstockning och ett tidskrävande rensningsarbete. Eventuella brott fastställs med hjälp av blåsmunnstycken, varvid en anordning aktiveras som efter viran blåser tillbaka pappret i massabehållaren så att stockning längre fram i maskinen undviks. En lösning av problemet med användning av fluidistorer är motiverad dels av miljöskäl och dels att ett pneumatiskt system redan finns för avblåsningen.",Undviker produktionsstopp
10016001,36630,Inovapapper,Magnetiskt papper att använda till flanellografer. ,Fäster många lager ovanpå varandra.
10107001,45,,"Rotator för vridning av hängande kranlaster. Den nya rotatorn kännetecknas av enkel konstruktion, högt vridmoment, låg vikt och lågt pris. Eftersom den har konstruerats för att klara laster på upp till 8000 kg bör den enligt uppgift inte bara bli intressant för skogsindustrin utan även för bygg- och transportsektorerna samt för den tyngre verkstadsindustrin.","Högt vridmoment, klarar tung last."
10280001,351,,"Sprutbox. Överskottet av färgpartiklar vid sprutmålning har man hittills försökt fånga in med hjälp av antingen torra filter av t ex papper eller konstfiber eller våta med vatten som filtreringsmedium. Vattenfilter ger högst verkningsgrad. Med den nya tekniken öper ett 1000 mm brett teflonband över två brytrullar, en nedre och en övre. Bandet, som är perforerat passerar med sin nedre del genom en bassäng, innehållande parafinolja. En utsugningsfläkt skapar undertryck på bandets baksida. På framsidan sugs färgstoft mot och stannar på det paraffinoljevåta bandet. Vid passagen genom bassängen släpper de, jämfört med olja, tyngre färgpartiklarna, sjunker och sedimneterar på botten. Reningsgraden blir nästan hundraprocentig. ",
10556001,211,,"Torkanläggning baserad på en torkningsprocess som utnyttjar bark, spån, skogsavfall och torv som bränsle istället för olja.  Processen innebär att rå bark som normalt har en vattenhalt av ca sextio procent torkas i het gasström och mals samtidigt i en kvarn. Resultatet blir ett pulver där vattenhalten endast blir tio till femton procent, som kan användas direkt i brännare för pulveriserat bränsle.",
10556001,40110,,"Torkanläggning baserad på en torkningsprocess som utnyttjar bark, spån, skogsavfall och torv som bränsle istället för olja.  Processen innebär att rå bark som normalt har en vattenhalt av ca sextio procent torkas i het gasström och mals samtidigt i en kvarn. Resultatet blir ett pulver där vattenhalten endast blir tio till femton procent, som kan användas direkt i brännare för pulveriserat bränsle.",
10691001,21,,"Såsom tidigare nämnts var 1982 en milstolpe i Nordiskafilt shistoria. I samarbete med Skärblacka föddes den första sömfilten, Combikraft. Det som sedan dess hänt med sömfilten är att viduareutvecklingen av produkten är att betrakta som små förbättringar. Detta gäller för utvecklingen fram till för cirka ett år sedan, då ett markant utvecklingessteg togs beträffande sömutvecklingen och en ny,avsevärt förbättrad generation av sömmar såg dagens ljus. Begränsningarna med älre sömmar i förhållande till nya generationens förbättringar kommer att belysas här. De tidigare sömmarna hade långa öglor, dvs tvätrådar i väven fattades på båda sidor om sömmens centrumlinje. Detta hade tre konsekvenser... som i vissa fall gav upphov till olägenheter. 1. De två zoner, där tvärtrådar fattades kunde i vissa fall ge upphov till markering på grund av ett lägre presstryck i dessa zoner. 2. Den lägre fiberförankringen i ovanstående zoner ledde till ett förhöjt vaddslitage i sömzonen. Vaddfliken kunde sugas in i suglådeslitsen, vilket ytterligare förvärrade slitage. Denna hädnelse har ofta kunna registreras som ett pistolskott över suglådan. 3. Ett högt vaddslitage i sömområdet bidrog till att det löpte större risk för att utsättas för ett förhöjt mekaniskt slitage med försämrade styrkeegenskaper som följd. Papperstekniskt är det självklart at ett stort slitage över sömområdet ger markering i papperet. men även vid försumbart slitage är det uppenbart den inhomogenitet som sömmen utgör i filtkonstruktionen, som kan bidra til markering. För att åtgärda detta var första steget att mer i detalj analysera olika orsaer till sömmarkering. Löst problem....--- Ovanstående analys visar att en avsevärd sömförbättring bygger på att åstadkomma en större homogenitet i sömzonen i kombination med en förbättrad vaddförankring. Lösningen til dessa problem kom under vintern 1990 och har lett till ett patentsökt förfarande. ",
12946001,37200,,Tekniklösning för att lösa upp våtstarka papper (t.ex. sedelpapper) i syfte att återvinna (värdefulla) fibrer istället för att bränna råvaran vilket annars varit det konventionella sättet att hantera sådant material. [par][par]Lösningen baseras på en kombination av tekniska lösningar varav en av de viktigaste är den unika utformningen av pulperrotorn med motskär.,Möjliggör utvinning av fibrer från våtstarkt papper (t.ex. sedlar).
